,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
853,reckoner_SRR1543971_raw_19.corrected.fastq.gz,run.reckoner.sh,19,1972,41792,2838,5,40,53,15,46700,3627,11103225,4504,85,2437,1387,78,3,11115346,Reckoner,NA,100,0.4460705940228754,0.48678029794658434,-0.02422826220637068,0.9992361009462326,RSR,7.287222547998056e-06,0.038461538461538464
854,reckoner_SRR1543968_raw_22.corrected.fastq.gz,run.reckoner.sh,22,1260,41322,3974,6,38,100,31,46700,2949,11098910,6784,80,4710,2148,202,0,11115783,Reckoner,NA,100,0.30298982841878147,0.30070357907617007,-0.4016233432651803,0.9987473666947259,RSR,1.8172359068182602e-05,0.0
855,reckoner_SRR1543968_raw_14.corrected.fastq.gz,run.reckoner.sh,14,991,41321,4109,8,104,167,33,46700,2547,11094429,7090,172,8091,4391,187,4,11116911,Reckoner,NA,100,0.264293867386116,0.16947235344999667,-1.0309224862509079,0.9982071452068457,RSR,1.7181031673276866e-05,0.0213903743315508
856,reckoner_SRR1543971_raw_23.corrected.fastq.gz,run.reckoner.sh,23,2029,41792,2807,7,23,42,11,46700,3708,11104160,4437,71,1707,957,96,3,11115139,Reckoner,NA,100,0.4552486187845304,0.5819209039548022,0.1281767955801105,0.9993461168626276,RSR,8.906771206369979e-06,0.03125
857,reckoner_SRR1543968_raw_18.corrected.fastq.gz,run.reckoner.sh,18,1136,41322,4081,7,59,95,31,46700,2762,11099208,6923,124,4398,2195,210,1,11115821,Reckoner,NA,100,0.28518327310273617,0.2952431854623196,-0.39556014455343314,0.9987540280429155,RSR,1.898195373962931e-05,0.004761904761904762
858,reckoner_SRR1543968_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1400,41322,3859,8,28,83,31,46700,3034,11100591,6706,72,3244,1728,192,1,11115568,Reckoner,NA,100,0.31149897330595483,0.3789657756682488,-0.19897330595482546,0.9989256508462412,RSR,1.7363035339264714e-05,0.005208333333333333
859,reckoner_SRR1543969_raw_20.corrected.fastq.gz,run.reckoner.sh,20,1323,40226,4945,7,58,141,52,46700,3788,11093457,9348,165,6246,2851,359,19,11116233,Reckoner,NA,100,0.28836784409257005,0.2939852541715173,-0.40415651644336176,0.9982935736933456,RSR,3.400432502629263e-05,0.052924791086350974
860,reckoner_SRR1543969_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1491,40226,4833,8,31,111,38,46700,3835,11096290,9359,109,3815,2181,220,17,11115826,Reckoner,NA,100,0.29066242231317263,0.3900925643373004,-0.16378656965287253,0.9985890365694481,RSR,2.132095266694531e-05,0.07727272727272727
861,reckoner_SRR1543968_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1357,41322,3903,7,29,82,29,46700,2999,11100499,6744,69,3265,1868,201,1,11115646,Reckoner,NA,100,0.30781073591296315,0.36878996556812593,-0.21902904649491942,0.9989072159105477,RSR,1.8172583041957255e-05,0.004975124378109453
862,reckoner_SRR1543968_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1304,41322,3943,5,35,91,28,46700,2936,11099593,6816,60,4044,2149,168,1,11115767,Reckoner,NA,100,0.3010664479081214,0.32161244386022564,-0.3339827727645611,0.9988091688867866,RSR,1.5203629223246583e-05,0.005952380952380952
863,reckoner_SRR1543969_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1423,40226,4868,6,47,130,44,46700,3826,11094831,9339,146,5067,2555,253,9,11116026,Reckoner,NA,100,0.29061906570451956,0.33420684835779174,-0.2883402962400304,0.9984382895420185,RSR,2.3569574234533097e-05,0.03557312252964427
