,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency,hap
203,sga_mix_3_err_rate_1_22.corrected.fastq,sga,22,47,6219,416965,290,596,1733,1601,425850,12796,85531360,4205592,3737,57965,124388,78706,31892,90046436,Sga,NA,100,0.003033386,0.06557041,-0.040194738,0.950337048,IGH,0.001228233,0.405204178,3
204,sga_mix_3_err_rate_1_24.corrected.fastq,sga,24,53,6219,416875,307,668,1728,1600,425850,13245,85531233,4205134,3742,58096,124380,78704,31892,90046426,Sga,NA,100,0.003139832,0.067672861,-0.040117543,0.950340731,IGH,0.001228211,0.405214474,3
205,sga_mix_3_err_rate_1_26.corrected.fastq,sga,26,65,6219,416772,318,745,1731,1603,425850,13757,85531111,4204619,3751,58220,124379,78692,31892,90046421,Sga,NA,100,0.003261208,0.070061521,-0.040025356,0.950345116,IGH,0.001228078,0.405276267,3
206,sga_mix_3_err_rate_1_28.corrected.fastq,sga,28,66,6219,416663,335,834,1733,1607,425850,14211,85530981,4204148,3765,58380,124308,78705,31893,90046391,Sga,NA,100,0.003368846,0.072174059,-0.03993899,0.950349043,IGH,0.001228234,0.405222032,3
207,sga_mix_3_err_rate_1_30.corrected.fastq,sga,30,71,6219,416569,343,916,1732,1606,425850,14565,85530877,4203774,3782,58492,124292,78716,31893,90046391,Sga,NA,100,0.003452781,0.073803262,-0.039878018,0.95035182,IGH,0.001228356,0.405165405,3
208,sga_mix_4_err_rate_1_20.corrected.fastq,sga,20,39,8957,613281,351,623,2488,2242,625739,16763,126041899,5999957,5325,85313,178198,110115,39831,132477401,Sga,NA,100,0.002786069,0.059809329,-0.041010384,0.951834604,IGH,0.001131861,0.361721836,4
209,sga_mix_4_err_rate_1_22.corrected.fastq,sga,22,47,8957,613144,379,724,2488,2259,625739,17531,126041794,5999172,5353,85370,178279,110087,39833,132477419,Sga,NA,100,0.002913722,0.062347962,-0.040905792,0.951839495,IGH,0.001131665,0.361832006,4
210,sga_mix_4_err_rate_1_24.corrected.fastq,sga,24,58,8895,609306,385,820,2488,2261,621952,17842,125274611,5965325,5363,85545,178207,110111,39592,131676596,Sga,NA,100,0.002982033,0.063360725,-0.041100307,0.951802679,IGH,0.001136899,0.35956444,4
211,sga_mix_4_err_rate_1_26.corrected.fastq,sga,26,66,8957,612893,407,922,2494,2270,625739,18483,126041451,5998409,5403,85710,178343,110027,39592,132477418,Sga,NA,100,0.003071852,0.065418212,-0.04081343,0.951842369,IGH,0.001129392,0.359838949,4
212,sga_mix_4_err_rate_1_28.corrected.fastq,sga,28,68,8957,612741,441,1034,2498,2275,625739,18997,126041308,5997858,5439,85872,178301,110031,39593,132477399,Sga,NA,100,0.003157297,0.067086909,-0.040748198,0.951845314,IGH,0.00112943,0.359834956,4
213,sga_mix_4_err_rate_1_30.corrected.fastq,sga,30,76,8957,612630,457,1125,2494,2274,625739,19498,126041230,5997094,5456,85930,178362,110020,39834,132477424,Sga,NA,100,0.003240705,0.068705733,-0.040686488,0.95185006,IGH,0.001131166,0.362061443,4
214,sga_mix_5_err_rate_1_20.corrected.fastq,sga,20,107,37151,660581,344,599,2676,2411,701458,18681,142305130,6174616,5691,92160,191676,118732,40410,148947096,Sga,NA,100,0.003016326,0.061751902,-0.042813222,0.955791945,IGH,0.001068446,0.340346326,5
215,sga_mix_5_err_rate_1_22.corrected.fastq,sga,22,134,37151,660412,376,708,2677,2427,701458,19637,142305010,6173887,5711,92243,191729,118727,40171,148947115,Sga,NA,100,0.00317057,0.064678583,-0.042679257,0.955795903,IGH,0.001066808,0.338347638,5
216,sga_mix_5_err_rate_1_24.corrected.fastq,sga,24,174,37151,660273,392,793,2675,2434,701458,20119,142304894,6173367,5741,92373,191697,118745,40172,148947108,Sga,NA,100,0.003248413,0.066139801,-0.042617518,0.955798412,IGH,0.001066936,0.338304771,5
217,sga_mix_5_err_rate_1_26.corrected.fastq,sga,26,203,37151,660119,412,891,2682,2446,701458,20705,142304700,6172749,5782,92528,191729,118745,40176,148947114,Sga,NA,100,0.003343046,0.067893705,-0.042553315,0.955801032,IGH,0.001066963,0.338338456,5
218,sga_mix_5_err_rate_1_28.corrected.fastq,sga,28,230,37151,659937,461,995,2684,2449,701458,21432,142304498,6171967,5822,92604,191781,118955,40191,148947250,Sga,NA,100,0.003460458,0.070081127,-0.042456977,0.955803781,IGH,0.001068472,0.337867261,5
219,sga_mix_5_err_rate_1_30.corrected.fastq,sga,30,273,37151,659790,470,1091,2683,2448,701458,21934,142304404,6171454,5831,92711,191853,118878,40184,148947249,Sga,NA,100,0.003541519,0.071563273,-0.0424049,0.955806482,IGH,0.001067908,0.338027221,5
