,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Trim Percent,Trim Efficiency,Sample,Total Reads,Tool,Kmer Size
167,musket_sample_SRR1543965_1_22.corrected.fastq,run.musket.sh,22,0,599280,118823,0,0,0,276,718103,0,170630590,283239,0,0,0,0,594,170914423,Musket,NA,100,0,inf,0,0.998342796,3.48E-06,inf,SRR1543965,718103,Musket,22
168,musket_sample_SRR1543965_1_24.corrected.fastq,run.musket.sh,24,0,599280,118823,0,0,0,276,718103,0,170630590,283239,0,0,0,0,594,170914423,Musket,NA,100,0,inf,0,0.998342796,3.48E-06,inf,SRR1543965,718103,Musket,24
169,musket_sample_SRR1543965_1_26.corrected.fastq,run.musket.sh,26,0,599280,118823,0,0,0,276,718103,0,170630590,283239,0,0,0,0,594,170914423,Musket,NA,100,0,inf,0,0.998342796,3.48E-06,inf,SRR1543965,718103,Musket,26
170,musket_sample_SRR1543965_1_28.corrected.fastq,run.musket.sh,28,0,599280,118823,0,0,0,276,718103,0,170630590,283239,0,0,0,0,594,170914423,Musket,NA,100,0,inf,0,0.998342796,3.48E-06,inf,SRR1543965,718103,Musket,28
171,musket_sample_SRR1543965_1_30.corrected.fastq,run.musket.sh,30,0,599280,118823,0,0,0,276,718103,0,170630590,283239,0,0,0,0,594,170914423,Musket,NA,100,0,inf,0,0.998342796,3.48E-06,inf,SRR1543965,718103,Musket,30
358,pollux_sample_SRR1543965_1_20.corrected.fastq,run.pollux.sh,20,22589,548040,84136,167,11134,51218,457,717284,68563,170264459,188451,1117,89006,129970,181,587,170742334,Pollux,NA,100,0.266767569,0.238447654,-0.585232711,0.99760618,4.50E-06,3.243093923,SRR1543965,717284,Pollux,20
359,pollux_sample_SRR1543965_1_22.corrected.fastq,run.pollux.sh,22,24205,542838,81487,162,13376,55091,463,717159,73985,170219476,181071,1136,95918,141044,184,594,170713408,Pollux,NA,100,0.290073552,0.237934439,-0.638985164,0.997543518,4.56E-06,3.22826087,SRR1543965,717159,Pollux,22
360,pollux_sample_SRR1543965_1_24.corrected.fastq,run.pollux.sh,24,26854,539726,77785,147,14273,58260,466,717045,82673,170180678,170770,1259,102224,147600,193,594,170685991,Pollux,NA,100,0.326199579,0.248642845,-0.659521076,0.997527346,4.61E-06,3.077720207,SRR1543965,717045,Pollux,24
361,pollux_sample_SRR1543965_1_26.corrected.fastq,run.pollux.sh,26,32726,524280,68981,175,19159,71618,484,716939,98817,170097063,153107,1307,130826,183511,206,599,170665436,Pollux,NA,100,0.39224925,0.239177159,-0.855496102,0.997252176,4.72E-06,2.90776699,SRR1543965,716939,Pollux,26
362,pollux_sample_SRR1543965_1_28.corrected.fastq,run.pollux.sh,28,34774,521741,66180,166,21004,72985,478,716850,104785,170067304,145283,1300,140441,181939,194,601,170641847,Pollux,NA,100,0.419026025,0.245303337,-0.870143321,0.997250624,4.66E-06,3.097938144,SRR1543965,716850,Pollux,28
363,pollux_sample_SRR1543965_1_30.corrected.fastq,run.pollux.sh,30,38343,518733,61730,183,21341,76389,477,716719,113301,170034111,134950,1357,142855,185597,194,600,170612965,Pollux,NA,100,0.456396953,0.256480431,-0.866667204,0.997274799,4.65E-06,3.092783505,SRR1543965,716719,Pollux,30
9,racer_sample_SRR1543965_1_0.corrected.fastq,run.racer.sh,0,27937,194200,7233,41,15009,39752,6578,284172,77573,66273876,30002,2387,944667,570770,42500,279,67942054,Racer,NA,100,0.721106205,0.048695865,-13.36615385,0.976592811,0.000629639,0.006564706,SRR1543965,284172,Racer,0
214,reckoner_sample_SRR1543965_1_20.corrected.fastq,run.reckoner.sh,20,23116,599277,93959,201,923,627,661,718103,64117,170604489,218006,893,19395,11005,2390,923,170921218,Reckoner,NA,100,0.227266122,0.678364739,0.119511702,0.998527448,1.94E-05,0.386192469,SRR1543965,718103,Reckoner,20
